best_tour, time
best_tour, time
39.000000,865
39.000000,785
39.000000,823
39.000000,857
39.000000,864
39.000000,939
39.000000,901
39.000000,854
39.000000,778
39.000000,778
39.000000,771
39.000000,775
39.000000,773
39.000000,758
39.000000,767
39.000000,780
39.000000,768
39.000000,773
39.000000,832
39.000000,753
39.000000,755
39.000000,778
39.000000,780
39.000000,766
39.000000,772
39.000000,787
39.000000,766
39.000000,754
39.000000,769
39.000000,762
